,ds,yhat,yhat_lower,yhat_upper,Type
0,2013-01-01,55560.378579180004,-89249.70688248437,205316.5860234907,Historical
1,2014-01-01,24046.65199086646,-114840.40544586435,167642.7876659712,Historical
2,2015-01-01,-7467.0745949104,-152297.77480146015,137239.40583614312,Historical
3,2016-01-01,-38980.801182340256,-201570.5174975457,98811.5452926189,Historical
4,2017-01-01,-70580.8667507384,-216133.72341338915,74563.72854454484,Historical
5,2018-01-01,-102094.59334435171,-242918.54916249734,41900.423278952665,Historical
6,2019-01-01,-133608.31999065558,-279818.2688071093,12354.143490962066,Historical
7,2020-01-01,-165122.04664208216,-311709.0462873524,-14462.737973720317,Historical
8,2021-01-01,-196722.11226514788,-336665.51019095146,-56516.63402786815,Historical
9,2022-01-01,-228235.8389111013,-378750.001910965,-74883.98962126,Historical
10,2023-01-01,-259749.56555705483,-399328.33031257626,-111094.7552445709,Historical
11,2023-12-31,-291176.9532258961,-429435.61530424247,-146142.0142471519,Forecast
12,2024-12-31,-322777.0188489618,-462248.30278865853,-172491.4276031404,Forecast
13,2025-12-31,-354290.74549491535,-499122.0085753311,-222698.02647001896,Forecast
14,2026-12-31,-385804.4721408688,-521135.55046427477,-245131.60086765338,Forecast
15,2027-12-31,-417318.1987868222,-566723.9814263766,-272570.61742740363,Forecast
