,Population Forecast,yhat_lower,yhat_upper,Type,Region,Year
0,734270.57772,730767.5905968022,737318.1264020519,Historical,Акмолинская,2013
1,733988.8418300101,730733.6986648845,737237.1664645895,Historical,Акмолинская,2014
2,733671.5251131457,730292.452564069,736927.2147842944,Historical,Акмолинская,2015
3,733325.3246475209,730116.1958798546,736586.1816091368,Historical,Акмолинская,2016
4,732978.1757655129,730054.2862143262,736339.3131293922,Historical,Акмолинская,2017
5,734365.6059293689,731083.9783501906,737593.8612757927,Historical,Акмолинская,2018
6,735783.2159114501,732330.5955273836,738876.5040351297,Historical,Акмолинская,2019
7,737200.8258686387,733883.8508758978,740606.7217325887,Historical,Акмолинская,2020
8,737814.1527945088,734627.2430560142,740971.9626118911,Historical,Акмолинская,2021
9,738425.8039637511,735221.7087305315,741948.5621719125,Historical,Акмолинская,2022
10,739037.4551329932,735970.386883623,742301.7390555505,Historical,Акмолинская,2023
11,739647.4305456073,736690.3522346397,743180.1847621202,Forecast,Акмолинская,2023
12,740260.7574714776,736817.2053653919,743594.348383333,Forecast,Акмолинская,2024
13,740872.4086407197,736976.7257285389,744664.9951880536,Forecast,Акмолинская,2025
14,741484.0598099619,737570.9295940894,745651.9146269626,Forecast,Акмолинская,2026
15,742095.710979204,737171.2104013772,746568.1507781664,Forecast,Акмолинская,2027
16,809610.6172,807164.4470558022,812031.0451886033,Historical,Актюбинская,2013
17,821831.1514168674,819658.004561018,824188.6625967477,Historical,Актюбинская,2014
18,834009.8745255512,831692.4532546896,836317.3568206648,Historical,Актюбинская,2015
19,845952.1787436325,843565.8981183954,848562.8484076579,Historical,Актюбинская,2016
20,857927.2014630132,855418.6311928411,860389.6986073052,Historical,Актюбинская,2017
21,869870.873440986,867485.7058380115,872337.130966818,Historical,Актюбинская,2018
22,882286.8996741094,879862.5784658152,884690.1422870127,Historical,Актюбинская,2019
23,897140.7140509074,894763.2584835321,899665.4822595771,Historical,Актюбинская,2020
24,912035.2238212735,909594.1585342487,914527.0110497487,Historical,Актюбинская,2021
25,926889.0382097533,924441.7896564109,929242.6717479936,Historical,Актюбинская,2022
26,941742.8525982334,939337.3066947748,944208.1590287283,Historical,Актюбинская,2023
27,956555.971604827,954111.8215858345,958990.7881956327,Forecast,Актюбинская,2023
28,971450.481375193,968589.7132226476,974251.8508652872,Forecast,Актюбинская,2024
